"PathwayID","gene_expl","gene"
"Pathway 131","dummy_gene_18303","dummy_gene_10677"
"Pathway 131","dummy_gene_18303","dummy_gene_13865"
"Pathway 131","dummy_gene_18303","dummy_gene_3846"
"Pathway 131","dummy_gene_18303","dummy_gene_390"
"Pathway 131","dummy_gene_18303","dummy_gene_2921"
"Pathway 131","dummy_gene_18303","dummy_gene_17404"
"Pathway 131","dummy_gene_18303","dummy_gene_14790"
"Pathway 131","dummy_gene_18303","dummy_gene_150"
"Pathway 131","dummy_gene_18303","dummy_gene_6994"
"Pathway 131","dummy_gene_18303","dummy_gene_1302"
"Pathway 131","dummy_gene_18303","dummy_gene_17078"
"Pathway 131","dummy_gene_18303","dummy_gene_6700"
"Pathway 131","dummy_gene_18303","dummy_gene_16740"
"Pathway 131","dummy_gene_18303","dummy_gene_1457"
"Pathway 131","dummy_gene_18303","dummy_gene_12307"
"Pathway 131","dummy_gene_18303","dummy_gene_2249"
"Pathway 131","dummy_gene_18303","dummy_gene_8445"
"Pathway 131","dummy_gene_18303","dummy_gene_15186"
"Pathway 131","dummy_gene_18303","dummy_gene_11100"
"Pathway 131","dummy_gene_18303","dummy_gene_18290"
"Pathway 131","dummy_gene_18303","dummy_gene_14152"
"Pathway 131","dummy_gene_18303","dummy_gene_4457"
"Pathway 131","dummy_gene_18303","dummy_gene_7015"
"Pathway 131","dummy_gene_18303","dummy_gene_13613"
"Pathway 131","dummy_gene_18303","dummy_gene_13209"
"Pathway 131","dummy_gene_18303","dummy_gene_19953"
"Pathway 131","dummy_gene_18303","dummy_gene_6273"
"Pathway 131","dummy_gene_18303","dummy_gene_10148"
"Pathway 131","dummy_gene_18303","dummy_gene_6084"
"Pathway 131","dummy_gene_18303","dummy_gene_11673"
"Pathway 131","dummy_gene_18303","dummy_gene_7960"
"Pathway 131","dummy_gene_18303","dummy_gene_9167"
"Pathway 131","dummy_gene_18303","dummy_gene_2343"
"Pathway 131","dummy_gene_18303","dummy_gene_12356"
"Pathway 131","dummy_gene_18303","dummy_gene_2982"
"Pathway 131","dummy_gene_18303","dummy_gene_17347"
"Pathway 131","dummy_gene_18303","dummy_gene_10915"
"Pathway 131","dummy_gene_18303","dummy_gene_10924"
"Pathway 131","dummy_gene_18303","dummy_gene_11899"
"Pathway 131","dummy_gene_18303","dummy_gene_7830"
"Pathway 131","dummy_gene_18303","dummy_gene_15657"
"Pathway 131","dummy_gene_18303","dummy_gene_10255"
"Pathway 131","dummy_gene_18303","dummy_gene_1382"
"Pathway 131","dummy_gene_18303","dummy_gene_883"
"Pathway 131","dummy_gene_18303","dummy_gene_16216"
"Pathway 131","dummy_gene_18303","dummy_gene_16550"
"Pathway 131","dummy_gene_18303","dummy_gene_8023"
"Pathway 131","dummy_gene_18303","dummy_gene_2270"
"Pathway 131","dummy_gene_18303","dummy_gene_1654"
"Pathway 131","dummy_gene_18303","dummy_gene_5529"
"Pathway 131","dummy_gene_18303","dummy_gene_251"
"Pathway 131","dummy_gene_18303","dummy_gene_10951"
"Pathway 131","dummy_gene_18303","dummy_gene_11115"
"Pathway 131","dummy_gene_18303","dummy_gene_2801"
"Pathway 131","dummy_gene_18303","dummy_gene_7948"
"Pathway 131","dummy_gene_18303","dummy_gene_16581"
"Pathway 131","dummy_gene_18303","dummy_gene_2504"
"Pathway 131","dummy_gene_18303","dummy_gene_4642"
"Pathway 131","dummy_gene_18303","dummy_gene_14332"
"Pathway 131","dummy_gene_18303","dummy_gene_11252"
"Pathway 131","dummy_gene_18303","dummy_gene_5333"
"Pathway 131","dummy_gene_18303","dummy_gene_8028"
"Pathway 131","dummy_gene_18303","dummy_gene_1154"
"Pathway 131","dummy_gene_18303","dummy_gene_1150"
"Pathway 131","dummy_gene_18303","dummy_gene_9448"
"Pathway 131","dummy_gene_18303","dummy_gene_9356"
"Pathway 131","dummy_gene_18303","dummy_gene_18733"
"Pathway 131","dummy_gene_18303","dummy_gene_19571"
"Pathway 131","dummy_gene_18303","dummy_gene_4947"
"Pathway 131","dummy_gene_18303","dummy_gene_5881"
"Pathway 131","dummy_gene_18303","dummy_gene_14234"
"Pathway 131","dummy_gene_18303","dummy_gene_19088"
"Pathway 131","dummy_gene_18303","dummy_gene_19252"
"Pathway 131","dummy_gene_18303","dummy_gene_11587"
"Pathway 131","dummy_gene_18303","dummy_gene_19838"
"Pathway 131","dummy_gene_18303","dummy_gene_2442"
"Pathway 131","dummy_gene_18303","dummy_gene_9311"
"Pathway 131","dummy_gene_18303","dummy_gene_10761"
"Pathway 131","dummy_gene_18303","dummy_gene_2716"
"Pathway 131","dummy_gene_18303","dummy_gene_15015"
"Pathway 131","dummy_gene_18303","dummy_gene_12368"
"Pathway 131","dummy_gene_18303","dummy_gene_16153"
"Pathway 131","dummy_gene_18303","dummy_gene_6237"
"Pathway 131","dummy_gene_18303","dummy_gene_6445"
"Pathway 131","dummy_gene_18303","dummy_gene_9396"
"Pathway 131","dummy_gene_14730","dummy_gene_11755"
"Pathway 131","dummy_gene_14730","dummy_gene_14804"
"Pathway 131","dummy_gene_14730","dummy_gene_2383"
"Pathway 131","dummy_gene_14730","dummy_gene_17163"
"Pathway 131","dummy_gene_14730","dummy_gene_11150"
"Pathway 131","dummy_gene_14730","dummy_gene_8863"
"Pathway 131","dummy_gene_14730","dummy_gene_5180"
"Pathway 131","dummy_gene_14730","dummy_gene_12757"
"Pathway 131","dummy_gene_14730","dummy_gene_6582"
"Pathway 131","dummy_gene_14730","dummy_gene_15389"
"Pathway 131","dummy_gene_14730","dummy_gene_956"
"Pathway 131","dummy_gene_14730","dummy_gene_15132"
"Pathway 131","dummy_gene_14730","dummy_gene_8883"
"Pathway 131","dummy_gene_14730","dummy_gene_8378"
"Pathway 131","dummy_gene_14730","dummy_gene_12009"
"Pathway 131","dummy_gene_14730","dummy_gene_6958"
"Pathway 131","dummy_gene_14730","dummy_gene_17033"
"Pathway 131","dummy_gene_14730","dummy_gene_19003"
"Pathway 131","dummy_gene_14730","dummy_gene_13633"
"Pathway 131","dummy_gene_14730","dummy_gene_13350"
"Pathway 131","dummy_gene_14730","dummy_gene_3476"
"Pathway 131","dummy_gene_14730","dummy_gene_16382"
"Pathway 131","dummy_gene_14730","dummy_gene_977"
"Pathway 131","dummy_gene_14730","dummy_gene_18823"
"Pathway 131","dummy_gene_14730","dummy_gene_8258"
"Pathway 131","dummy_gene_14730","dummy_gene_9617"
"Pathway 131","dummy_gene_14730","dummy_gene_6957"
"Pathway 131","dummy_gene_14730","dummy_gene_7325"
"Pathway 131","dummy_gene_14730","dummy_gene_14259"
"Pathway 131","dummy_gene_14730","dummy_gene_3670"
"Pathway 131","dummy_gene_14730","dummy_gene_7829"
"Pathway 131","dummy_gene_14730","dummy_gene_3398"
"Pathway 131","dummy_gene_14730","dummy_gene_9400"
"Pathway 131","dummy_gene_14730","dummy_gene_4279"
"Pathway 131","dummy_gene_14730","dummy_gene_2576"
"Pathway 131","dummy_gene_14730","dummy_gene_17202"
"Pathway 131","dummy_gene_14730","dummy_gene_5606"
"Pathway 131","dummy_gene_14730","dummy_gene_3117"
"Pathway 131","dummy_gene_14730","dummy_gene_15043"
"Pathway 131","dummy_gene_14730","dummy_gene_10831"
"Pathway 131","dummy_gene_14730","dummy_gene_15586"
"Pathway 131","dummy_gene_14730","dummy_gene_46"
"Pathway 131","dummy_gene_14730","dummy_gene_15582"
"Pathway 131","dummy_gene_14730","dummy_gene_10700"
"Pathway 131","dummy_gene_14730","dummy_gene_15224"
"Pathway 131","dummy_gene_14730","dummy_gene_6057"
"Pathway 131","dummy_gene_14730","dummy_gene_8973"
"Pathway 131","dummy_gene_14730","dummy_gene_7708"
"Pathway 131","dummy_gene_14730","dummy_gene_2357"
"Pathway 131","dummy_gene_14730","dummy_gene_4229"
"Pathway 131","dummy_gene_14730","dummy_gene_13728"
"Pathway 131","dummy_gene_14730","dummy_gene_16951"
"Pathway 131","dummy_gene_14730","dummy_gene_13681"
"Pathway 131","dummy_gene_14730","dummy_gene_11856"
"Pathway 131","dummy_gene_14730","dummy_gene_6674"
"Pathway 131","dummy_gene_14730","dummy_gene_2834"
"Pathway 131","dummy_gene_14730","dummy_gene_16994"
"Pathway 131","dummy_gene_14730","dummy_gene_13819"
"Pathway 131","dummy_gene_14730","dummy_gene_18851"
"Pathway 131","dummy_gene_14730","dummy_gene_12713"
"Pathway 131","dummy_gene_14730","dummy_gene_13457"
"Pathway 131","dummy_gene_14730","dummy_gene_8674"
"Pathway 131","dummy_gene_14730","dummy_gene_1845"
"Pathway 131","dummy_gene_14730","dummy_gene_11532"
"Pathway 131","dummy_gene_14730","dummy_gene_10095"
"Pathway 131","dummy_gene_14730","dummy_gene_15822"
"Pathway 131","dummy_gene_14730","dummy_gene_3526"
"Pathway 131","dummy_gene_14730","dummy_gene_1424"
"Pathway 131","dummy_gene_14730","dummy_gene_9708"
"Pathway 131","dummy_gene_14730","dummy_gene_15776"
"Pathway 131","dummy_gene_14730","dummy_gene_9201"
"Pathway 131","dummy_gene_14730","dummy_gene_5788"
"Pathway 131","dummy_gene_14730","dummy_gene_16126"
"Pathway 131","dummy_gene_14730","dummy_gene_8234"
"Pathway 131","dummy_gene_14730","dummy_gene_10677"
"Pathway 131","dummy_gene_14730","dummy_gene_13865"
"Pathway 131","dummy_gene_14730","dummy_gene_3846"
"Pathway 131","dummy_gene_14730","dummy_gene_390"
"Pathway 131","dummy_gene_14730","dummy_gene_2921"
"Pathway 131","dummy_gene_14730","dummy_gene_17404"
"Pathway 131","dummy_gene_14730","dummy_gene_14790"
"Pathway 131","dummy_gene_14730","dummy_gene_150"
"Pathway 131","dummy_gene_14730","dummy_gene_6994"
"Pathway 131","dummy_gene_14730","dummy_gene_1302"
"Pathway 131","dummy_gene_14730","dummy_gene_17078"
"Pathway 131","dummy_gene_14730","dummy_gene_6700"
"Pathway 131","dummy_gene_14730","dummy_gene_16740"
"Pathway 131","dummy_gene_14730","dummy_gene_1457"
"Pathway 131","dummy_gene_14730","dummy_gene_12307"
"Pathway 131","dummy_gene_14730","dummy_gene_2249"
"Pathway 131","dummy_gene_14730","dummy_gene_8445"
"Pathway 131","dummy_gene_14730","dummy_gene_15186"
"Pathway 131","dummy_gene_14730","dummy_gene_11100"
"Pathway 131","dummy_gene_14730","dummy_gene_18290"
"Pathway 131","dummy_gene_14730","dummy_gene_14152"
"Pathway 131","dummy_gene_14730","dummy_gene_4457"
"Pathway 131","dummy_gene_14730","dummy_gene_7015"
"Pathway 131","dummy_gene_14730","dummy_gene_13613"
"Pathway 131","dummy_gene_14730","dummy_gene_13209"
"Pathway 131","dummy_gene_14730","dummy_gene_19953"
"Pathway 131","dummy_gene_14730","dummy_gene_6273"
"Pathway 131","dummy_gene_14730","dummy_gene_10148"
"Pathway 131","dummy_gene_14730","dummy_gene_6084"
"Pathway 131","dummy_gene_14730","dummy_gene_11673"
"Pathway 131","dummy_gene_14730","dummy_gene_7960"
"Pathway 131","dummy_gene_14730","dummy_gene_9167"
"Pathway 131","dummy_gene_14730","dummy_gene_2343"
"Pathway 131","dummy_gene_14730","dummy_gene_12356"
"Pathway 131","dummy_gene_14730","dummy_gene_2982"
"Pathway 131","dummy_gene_14730","dummy_gene_17347"
"Pathway 131","dummy_gene_14730","dummy_gene_10915"
"Pathway 131","dummy_gene_14730","dummy_gene_10924"
"Pathway 131","dummy_gene_14730","dummy_gene_11899"
"Pathway 131","dummy_gene_14730","dummy_gene_7830"
"Pathway 131","dummy_gene_14730","dummy_gene_15657"
"Pathway 131","dummy_gene_14730","dummy_gene_10255"
"Pathway 131","dummy_gene_14730","dummy_gene_1382"
"Pathway 131","dummy_gene_14730","dummy_gene_883"
"Pathway 131","dummy_gene_14730","dummy_gene_16216"
"Pathway 131","dummy_gene_14730","dummy_gene_16550"
"Pathway 131","dummy_gene_14730","dummy_gene_8023"
"Pathway 131","dummy_gene_14730","dummy_gene_2270"
"Pathway 131","dummy_gene_14730","dummy_gene_1654"
"Pathway 131","dummy_gene_14730","dummy_gene_5529"
"Pathway 131","dummy_gene_14730","dummy_gene_251"
"Pathway 131","dummy_gene_14730","dummy_gene_10951"
"Pathway 131","dummy_gene_14730","dummy_gene_11115"
"Pathway 131","dummy_gene_14730","dummy_gene_2801"
"Pathway 131","dummy_gene_14730","dummy_gene_7948"
"Pathway 131","dummy_gene_14730","dummy_gene_16581"
"Pathway 131","dummy_gene_14730","dummy_gene_2504"
"Pathway 131","dummy_gene_14730","dummy_gene_4642"
"Pathway 131","dummy_gene_14730","dummy_gene_14332"
"Pathway 131","dummy_gene_14730","dummy_gene_11252"
"Pathway 131","dummy_gene_14730","dummy_gene_5333"
"Pathway 131","dummy_gene_14730","dummy_gene_8028"
"Pathway 131","dummy_gene_14730","dummy_gene_1154"
"Pathway 131","dummy_gene_14730","dummy_gene_1150"
"Pathway 131","dummy_gene_14730","dummy_gene_9448"
"Pathway 131","dummy_gene_14730","dummy_gene_9356"
"Pathway 131","dummy_gene_14730","dummy_gene_18733"
"Pathway 131","dummy_gene_14730","dummy_gene_19571"
"Pathway 131","dummy_gene_14730","dummy_gene_4947"
"Pathway 131","dummy_gene_14730","dummy_gene_5881"
"Pathway 131","dummy_gene_14730","dummy_gene_14234"
"Pathway 131","dummy_gene_14730","dummy_gene_19088"
"Pathway 131","dummy_gene_14730","dummy_gene_19252"
"Pathway 131","dummy_gene_14730","dummy_gene_11587"
"Pathway 131","dummy_gene_14730","dummy_gene_19838"
"Pathway 131","dummy_gene_14730","dummy_gene_2442"
"Pathway 131","dummy_gene_14730","dummy_gene_9311"
"Pathway 131","dummy_gene_14730","dummy_gene_10761"
"Pathway 131","dummy_gene_14730","dummy_gene_2716"
"Pathway 131","dummy_gene_14730","dummy_gene_15015"
"Pathway 131","dummy_gene_14730","dummy_gene_12368"
"Pathway 131","dummy_gene_14730","dummy_gene_16153"
"Pathway 131","dummy_gene_14730","dummy_gene_6237"
"Pathway 131","dummy_gene_14730","dummy_gene_6445"
"Pathway 131","dummy_gene_14730","dummy_gene_9396"
"Pathway 132","dummy_gene_14898","dummy_gene_11353"
"Pathway 132","dummy_gene_14898","dummy_gene_3662"
"Pathway 132","dummy_gene_14898","dummy_gene_19524"
"Pathway 132","dummy_gene_14898","dummy_gene_8034"
"Pathway 132","dummy_gene_14898","dummy_gene_3286"
"Pathway 132","dummy_gene_14898","dummy_gene_3412"
"Pathway 132","dummy_gene_14898","dummy_gene_18846"
"Pathway 132","dummy_gene_14898","dummy_gene_18566"
"Pathway 132","dummy_gene_14898","dummy_gene_13357"
"Pathway 132","dummy_gene_14898","dummy_gene_10334"
"Pathway 132","dummy_gene_14898","dummy_gene_16876"
"Pathway 132","dummy_gene_14898","dummy_gene_18199"
"Pathway 132","dummy_gene_14898","dummy_gene_9408"
"Pathway 132","dummy_gene_14898","dummy_gene_5467"
"Pathway 132","dummy_gene_14898","dummy_gene_1170"
"Pathway 132","dummy_gene_14898","dummy_gene_13203"
"Pathway 132","dummy_gene_14898","dummy_gene_9618"
"Pathway 132","dummy_gene_14898","dummy_gene_6208"
"Pathway 132","dummy_gene_14898","dummy_gene_19450"
"Pathway 132","dummy_gene_14898","dummy_gene_14992"
"Pathway 132","dummy_gene_14898","dummy_gene_11210"
"Pathway 132","dummy_gene_14898","dummy_gene_6822"
"Pathway 132","dummy_gene_14898","dummy_gene_14913"
"Pathway 132","dummy_gene_14898","dummy_gene_3220"
"Pathway 132","dummy_gene_14898","dummy_gene_15782"
"Pathway 132","dummy_gene_14898","dummy_gene_3555"
"Pathway 132","dummy_gene_14898","dummy_gene_5685"
"Pathway 132","dummy_gene_14898","dummy_gene_11384"
"Pathway 132","dummy_gene_14898","dummy_gene_9394"
"Pathway 132","dummy_gene_14898","dummy_gene_19646"
"Pathway 133","dummy_gene_17376","dummy_gene_7657"
"Pathway 133","dummy_gene_17376","dummy_gene_7449"
"Pathway 133","dummy_gene_17376","dummy_gene_10017"
"Pathway 133","dummy_gene_17376","dummy_gene_1949"
"Pathway 133","dummy_gene_17376","dummy_gene_12183"
"Pathway 133","dummy_gene_17376","dummy_gene_19018"
"Pathway 133","dummy_gene_17376","dummy_gene_8222"
"Pathway 133","dummy_gene_17376","dummy_gene_9387"
"Pathway 133","dummy_gene_17376","dummy_gene_3444"
"Pathway 133","dummy_gene_17376","dummy_gene_2731"
"Pathway 133","dummy_gene_17376","dummy_gene_11340"
"Pathway 133","dummy_gene_17376","dummy_gene_339"
"Pathway 133","dummy_gene_17376","dummy_gene_10302"
"Pathway 133","dummy_gene_17376","dummy_gene_285"
"Pathway 133","dummy_gene_17376","dummy_gene_7149"
"Pathway 133","dummy_gene_17376","dummy_gene_15473"
"Pathway 133","dummy_gene_17376","dummy_gene_4898"
"Pathway 133","dummy_gene_17376","dummy_gene_7440"
"Pathway 133","dummy_gene_17376","dummy_gene_17776"
"Pathway 133","dummy_gene_17376","dummy_gene_18319"
"Pathway 133","dummy_gene_17376","dummy_gene_16566"
"Pathway 133","dummy_gene_17376","dummy_gene_9930"
"Pathway 133","dummy_gene_17376","dummy_gene_1989"
"Pathway 133","dummy_gene_17376","dummy_gene_4006"
"Pathway 133","dummy_gene_17376","dummy_gene_19583"
"Pathway 133","dummy_gene_17376","dummy_gene_7966"
"Pathway 133","dummy_gene_17376","dummy_gene_18679"
"Pathway 134","dummy_gene_4032","dummy_gene_10712"
"Pathway 134","dummy_gene_4032","dummy_gene_1222"
"Pathway 134","dummy_gene_4032","dummy_gene_1478"
"Pathway 134","dummy_gene_4032","dummy_gene_13103"
"Pathway 134","dummy_gene_4032","dummy_gene_6615"
"Pathway 134","dummy_gene_4032","dummy_gene_8006"
"Pathway 134","dummy_gene_4032","dummy_gene_12701"
"Pathway 134","dummy_gene_4032","dummy_gene_1456"
"Pathway 134","dummy_gene_4032","dummy_gene_17829"
"Pathway 134","dummy_gene_4032","dummy_gene_15877"
"Pathway 134","dummy_gene_4032","dummy_gene_3967"
"Pathway 134","dummy_gene_4032","dummy_gene_17480"
"Pathway 134","dummy_gene_4032","dummy_gene_5937"
"Pathway 134","dummy_gene_4032","dummy_gene_9109"
"Pathway 134","dummy_gene_4032","dummy_gene_17074"
"Pathway 134","dummy_gene_4032","dummy_gene_19181"
"Pathway 134","dummy_gene_4032","dummy_gene_2619"
"Pathway 134","dummy_gene_4032","dummy_gene_7318"
"Pathway 134","dummy_gene_4032","dummy_gene_15644"
"Pathway 134","dummy_gene_4032","dummy_gene_5488"
"Pathway 134","dummy_gene_4032","dummy_gene_18686"
"Pathway 134","dummy_gene_4032","dummy_gene_6110"
"Pathway 134","dummy_gene_4032","dummy_gene_2473"
"Pathway 134","dummy_gene_4032","dummy_gene_4349"
"Pathway 134","dummy_gene_4032","dummy_gene_10342"
"Pathway 134","dummy_gene_4032","dummy_gene_6660"
"Pathway 134","dummy_gene_4032","dummy_gene_4751"
"Pathway 134","dummy_gene_4032","dummy_gene_9900"
"Pathway 134","dummy_gene_4032","dummy_gene_8531"
"Pathway 135","dummy_gene_1563","dummy_gene_5566"
"Pathway 135","dummy_gene_1563","dummy_gene_9288"
"Pathway 135","dummy_gene_1563","dummy_gene_12003"
"Pathway 135","dummy_gene_1563","dummy_gene_4285"
"Pathway 135","dummy_gene_1563","dummy_gene_16966"
"Pathway 135","dummy_gene_1563","dummy_gene_11403"
"Pathway 135","dummy_gene_1563","dummy_gene_13217"
"Pathway 135","dummy_gene_1563","dummy_gene_6854"
"Pathway 135","dummy_gene_1563","dummy_gene_6847"
"Pathway 135","dummy_gene_1563","dummy_gene_12467"
"Pathway 135","dummy_gene_1563","dummy_gene_8532"
"Pathway 135","dummy_gene_1563","dummy_gene_2279"
"Pathway 135","dummy_gene_1563","dummy_gene_16758"
"Pathway 135","dummy_gene_1563","dummy_gene_746"
"Pathway 135","dummy_gene_1563","dummy_gene_7019"
"Pathway 135","dummy_gene_1563","dummy_gene_5535"
"Pathway 135","dummy_gene_1563","dummy_gene_14771"
"Pathway 135","dummy_gene_1563","dummy_gene_329"
"Pathway 135","dummy_gene_1563","dummy_gene_1944"
"Pathway 135","dummy_gene_1563","dummy_gene_10450"
"Pathway 135","dummy_gene_1563","dummy_gene_17255"
"Pathway 135","dummy_gene_1563","dummy_gene_15363"
"Pathway 135","dummy_gene_1563","dummy_gene_9998"
"Pathway 135","dummy_gene_1563","dummy_gene_4724"
"Pathway 135","dummy_gene_1563","dummy_gene_15056"
"Pathway 135","dummy_gene_1563","dummy_gene_8778"
"Pathway 135","dummy_gene_1563","dummy_gene_13045"
"Pathway 136","dummy_gene_1563","dummy_gene_9803"
"Pathway 136","dummy_gene_1563","dummy_gene_10778"
"Pathway 136","dummy_gene_1563","dummy_gene_13911"
"Pathway 136","dummy_gene_1563","dummy_gene_15791"
"Pathway 136","dummy_gene_1563","dummy_gene_8767"
"Pathway 136","dummy_gene_1563","dummy_gene_2227"
"Pathway 136","dummy_gene_1563","dummy_gene_11178"
"Pathway 136","dummy_gene_1563","dummy_gene_10100"
"Pathway 136","dummy_gene_1563","dummy_gene_2974"
"Pathway 136","dummy_gene_1563","dummy_gene_19785"
"Pathway 136","dummy_gene_1563","dummy_gene_17679"
"Pathway 136","dummy_gene_1563","dummy_gene_19937"
"Pathway 136","dummy_gene_1563","dummy_gene_3364"
"Pathway 136","dummy_gene_1563","dummy_gene_15773"
"Pathway 136","dummy_gene_1563","dummy_gene_13866"
"Pathway 136","dummy_gene_1563","dummy_gene_157"
"Pathway 136","dummy_gene_1563","dummy_gene_12460"
"Pathway 136","dummy_gene_1563","dummy_gene_5900"
"Pathway 136","dummy_gene_1563","dummy_gene_14580"
"Pathway 136","dummy_gene_1563","dummy_gene_7504"
"Pathway 136","dummy_gene_1563","dummy_gene_7832"
"Pathway 136","dummy_gene_1563","dummy_gene_6280"
"Pathway 136","dummy_gene_1563","dummy_gene_16906"
"Pathway 136","dummy_gene_1563","dummy_gene_15678"
"Pathway 136","dummy_gene_1563","dummy_gene_19059"
"Pathway 136","dummy_gene_1563","dummy_gene_10624"
"Pathway 136","dummy_gene_1563","dummy_gene_10587"
"Pathway 136","dummy_gene_1563","dummy_gene_16654"
"Pathway 136","dummy_gene_1563","dummy_gene_9538"
"Pathway 136","dummy_gene_1563","dummy_gene_16463"
"Pathway 136","dummy_gene_1563","dummy_gene_12825"
"Pathway 136","dummy_gene_1563","dummy_gene_17831"
"Pathway 137","dummy_gene_10952","dummy_gene_15329"
"Pathway 137","dummy_gene_10952","dummy_gene_8433"
"Pathway 137","dummy_gene_10952","dummy_gene_18511"
"Pathway 137","dummy_gene_10952","dummy_gene_2878"
"Pathway 137","dummy_gene_10952","dummy_gene_16038"
"Pathway 137","dummy_gene_10952","dummy_gene_9443"
"Pathway 137","dummy_gene_10952","dummy_gene_4089"
"Pathway 137","dummy_gene_10952","dummy_gene_4435"
"Pathway 137","dummy_gene_10952","dummy_gene_18131"
"Pathway 137","dummy_gene_10952","dummy_gene_2056"
"Pathway 137","dummy_gene_10952","dummy_gene_1669"
"Pathway 137","dummy_gene_10952","dummy_gene_1180"
"Pathway 137","dummy_gene_10952","dummy_gene_10889"
"Pathway 137","dummy_gene_10952","dummy_gene_13683"
"Pathway 137","dummy_gene_10952","dummy_gene_716"
"Pathway 137","dummy_gene_10952","dummy_gene_16528"
"Pathway 137","dummy_gene_10952","dummy_gene_14891"
"Pathway 137","dummy_gene_10952","dummy_gene_5572"
"Pathway 137","dummy_gene_10952","dummy_gene_19189"
"Pathway 137","dummy_gene_10952","dummy_gene_2185"
"Pathway 137","dummy_gene_10952","dummy_gene_5925"
"Pathway 137","dummy_gene_10952","dummy_gene_15487"
"Pathway 137","dummy_gene_10952","dummy_gene_14998"
"Pathway 137","dummy_gene_10952","dummy_gene_8842"
"Pathway 137","dummy_gene_10952","dummy_gene_9718"
"Pathway 137","dummy_gene_10952","dummy_gene_5245"
"Pathway 137","dummy_gene_10952","dummy_gene_4032"
"Pathway 137","dummy_gene_10952","dummy_gene_2426"
"Pathway 137","dummy_gene_10952","dummy_gene_14904"
"Pathway 137","dummy_gene_10952","dummy_gene_5966"
"Pathway 137","dummy_gene_10952","dummy_gene_19438"
"Pathway 137","dummy_gene_10952","dummy_gene_18412"
"Pathway 137","dummy_gene_10952","dummy_gene_19978"
"Pathway 137","dummy_gene_10952","dummy_gene_14127"
"Pathway 137","dummy_gene_10952","dummy_gene_4018"
"Pathway 137","dummy_gene_10952","dummy_gene_10871"
"Pathway 137","dummy_gene_10952","dummy_gene_1159"
"Pathway 137","dummy_gene_10952","dummy_gene_15953"
"Pathway 137","dummy_gene_10952","dummy_gene_12355"
"Pathway 137","dummy_gene_10952","dummy_gene_557"
"Pathway 137","dummy_gene_10952","dummy_gene_10642"
"Pathway 137","dummy_gene_10952","dummy_gene_15417"
"Pathway 137","dummy_gene_10952","dummy_gene_456"
"Pathway 137","dummy_gene_10952","dummy_gene_1271"
"Pathway 137","dummy_gene_10952","dummy_gene_4149"
"Pathway 137","dummy_gene_10952","dummy_gene_5121"
"Pathway 137","dummy_gene_10952","dummy_gene_6459"
"Pathway 137","dummy_gene_10952","dummy_gene_16155"
"Pathway 137","dummy_gene_10952","dummy_gene_2122"
"Pathway 137","dummy_gene_10952","dummy_gene_4634"
"Pathway 137","dummy_gene_10952","dummy_gene_16249"
"Pathway 137","dummy_gene_10952","dummy_gene_15358"
"Pathway 137","dummy_gene_10952","dummy_gene_86"
"Pathway 137","dummy_gene_10952","dummy_gene_2498"
"Pathway 137","dummy_gene_10952","dummy_gene_2449"
"Pathway 137","dummy_gene_10952","dummy_gene_12006"
"Pathway 137","dummy_gene_10952","dummy_gene_2973"
"Pathway 137","dummy_gene_10952","dummy_gene_10849"
"Pathway 137","dummy_gene_10952","dummy_gene_13401"
"Pathway 137","dummy_gene_10952","dummy_gene_4005"
"Pathway 137","dummy_gene_10952","dummy_gene_7975"
"Pathway 137","dummy_gene_10952","dummy_gene_2480"
"Pathway 137","dummy_gene_10952","dummy_gene_8307"
"Pathway 137","dummy_gene_10952","dummy_gene_5144"
"Pathway 137","dummy_gene_10952","dummy_gene_14185"
"Pathway 137","dummy_gene_10952","dummy_gene_309"
"Pathway 137","dummy_gene_10952","dummy_gene_16501"
"Pathway 137","dummy_gene_10952","dummy_gene_18976"
"Pathway 137","dummy_gene_10952","dummy_gene_4987"
"Pathway 137","dummy_gene_10952","dummy_gene_14083"
"Pathway 137","dummy_gene_10952","dummy_gene_7821"
"Pathway 137","dummy_gene_10952","dummy_gene_14"
"Pathway 137","dummy_gene_10952","dummy_gene_13930"
"Pathway 137","dummy_gene_10952","dummy_gene_9568"
"Pathway 137","dummy_gene_10952","dummy_gene_1183"
"Pathway 137","dummy_gene_10952","dummy_gene_3345"
"Pathway 137","dummy_gene_10952","dummy_gene_14847"
"Pathway 137","dummy_gene_10952","dummy_gene_16835"
"Pathway 137","dummy_gene_10952","dummy_gene_15756"
"Pathway 137","dummy_gene_10952","dummy_gene_12649"
"Pathway 137","dummy_gene_14730","dummy_gene_15329"
"Pathway 137","dummy_gene_14730","dummy_gene_8433"
"Pathway 137","dummy_gene_14730","dummy_gene_18511"
"Pathway 137","dummy_gene_14730","dummy_gene_2878"
"Pathway 137","dummy_gene_14730","dummy_gene_16038"
"Pathway 137","dummy_gene_14730","dummy_gene_9443"
"Pathway 137","dummy_gene_14730","dummy_gene_4089"
"Pathway 137","dummy_gene_14730","dummy_gene_4435"
"Pathway 137","dummy_gene_14730","dummy_gene_18131"
"Pathway 137","dummy_gene_14730","dummy_gene_2056"
"Pathway 137","dummy_gene_14730","dummy_gene_1669"
"Pathway 137","dummy_gene_14730","dummy_gene_1180"
"Pathway 137","dummy_gene_14730","dummy_gene_10889"
